YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,a.net_incm_pos_IND,a.net_incm_pos,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2013,4,1,2,0,425051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80357922,0,75314079,0,4133,0,1738229,0,3301481,0,63405905,0,27292811,0,5200439,0,7123281,0,680658,0,149027,0,3377132,0,1766069,0,412693,0,56973,0,683199,1,94,0,740535,0,223749,0,523199,0,5129,0,15170916,0,16952017,0,26702352,0,26761598,1,59246,0,16947884,0,9795672,0,55823,0,58295,0,22818,0,63044,0,9595692,0,-39805,0,16733,0,56537,1,-1400,1,71,0,1471,1,9698,1,7494,1,1715
2013,4,1,1,0,2745985,0,2799009554,0,436654569,0,728450703,0,11850422,0,382586363,0,60508678,0,34641496,0,141699979,0,46087947,0,58912344,0,320999627,0,1195963173,0,796213723,0,15366098,0,6379399,0,60598336,0,121814406,0,45927298,0,55096677,0,2799009554,0,353691481,0,224570279,0,640462123,0,108362206,0,378020257,0,95615003,0,998288205,0,55992629,0,178890135,0,821208073,0,57802632,0,5811228533,0,5680133194,0,1348991,0,13264017,0,116482332,0,5354359358,0,3511671079,0,215647764,0,588908046,0,33208073,0,7979807,0,131823534,0,113464355,0,28776177,0,7665109,0,63372705,0,604650,0,43334693,0,23334281,0,54692884,0,494506,0,529381696,0,456869175,0,489166343,0,489787471,0,621128,0,455520185,0,30892282,0,4516053,0,4689540,0,1285015,0,456626,0,19945047,0,2418321,0,3291986,0,873665,0,335556,0,737911,0,402355,0,102888,0,73291,0,27814
2013,4,11,12,0,34,0,10521717,0,494475,0,1981634,0,6945,0,2718583,0,0,0,0,0,302797,0,118012,0,7380,0,1761037,0,5086049,0,2785709,0,5,0,0,0,545701,0,145210,0,57142,0,210631,0,10521717,0,799517,0,1614689,0,844012,0,114891,0,1664805,0,225215,0,5258589,0,132815,0,471909,0,4852520,0,198655,0,14530013,0,14281806,0,6220,0,11320,0,230666,0,13877805,0,10055603,0,53368,0,680643,0,74643,0,4760,0,145295,0,150249,0,98675,0,26098,0,364943,0,29904,0,46266,0,75545,0,115227,0,1312,0,1955275,0,652208,0,776974,0,776974,0,0,0,645988,0,129953,0,92123,0,25289,0,300,0,943,0,11297,0,1384,0,2828,0,1444,0,-351,0,699,0,1050,0,1072,0,1072,0,0
2013,4,11,11,0,56,0,3827737,0,364493,0,668453,0,3387,0,578356,0,11264,0,0,0,273801,0,53076,0,31253,0,543464,0,1870527,0,1114221,0,9750,0,49,0,386635,0,95240,0,5458,0,64539,0,3827737,0,327819,0,464525,0,261206,0,104970,0,636545,0,55884,0,1976788,0,99087,0,309531,0,1606518,0,38348,0,4186042,0,3991776,0,135,0,7447,0,186683,0,3825453,0,2695864,0,32021,0,250007,0,38310,0,2712,0,59957,0,50201,0,32469,0,10373,0,97567,0,0,0,6927,0,3460,0,20061,0,103,0,525422,0,360589,0,403701,0,403928,0,227,0,360453,0,28951,0,12122,0,13998,0,48,0,-23,0,2806,0,14166,0,14412,0,246,0,130,0,248,0,119,0,1,0,1,0,0
2013,4,11,10,0,95,0,3290493,0,323790,0,590136,1,4704,0,414650,0,0,1,102604,0,140371,1,19362,1,118301,0,426595,0,2078462,0,1301658,0,0,0,0,0,274988,0,7855,0,4831,0,104572,0,3290493,0,294913,0,239649,0,322212,0,124468,0,485193,1,10361,0,1813697,0,114208,0,160555,0,1568630,1,29697,0,3884336,0,3713477,1,7184,0,6679,0,156995,0,3571658,0,2354701,0,38203,0,357918,0,48635,1,3861,0,70870,0,55171,0,28616,0,879,0,116349,0,0,0,8606,0,7633,0,27943,1,946,0,451325,0,312679,0,407920,0,407920,0,0,0,305494,0,94138,0,40529,0,6501,1,42971,1,4303,0,-165,0,7223,0,7224,1,1,1,1064,1,1417,1,353,0,0,0,0,0,0
2013,4,11,9,0,323,0,5038628,0,507531,0,529123,1,5770,0,844182,0,0,0,0,0,509027,0,71409,1,25337,0,533871,0,3109921,0,2076751,0,0,0,0,0,899493,0,6932,0,1602,0,85923,0,5038628,0,303711,0,782600,0,316141,0,162577,0,1162148,0,37196,0,2274254,0,62772,0,551977,0,1706304,0,46799,0,8133614,0,7449535,1,176,0,15169,0,668734,0,7630826,0,4788535,0,93610,0,534402,0,122310,0,2671,0,213513,0,101544,0,64551,0,476,0,197463,0,0,0,10493,0,9692,0,59522,0,0,0,1432044,0,502788,0,537653,0,537653,0,0,0,502612,0,26159,0,13003,0,10939,1,60,0,-1039,0,3197,0,8339,0,9990,1,1651,1,543,1,543,0,0,0,0,0,0,0,0
2013,4,11,8,0,836,0,5538062,0,1351905,0,750255,1,29,0,523331,0,0,0,0,0,231293,1,16187,1,2783,0,361055,0,3568820,0,2102247,1,11499,1,2025,0,575298,1,23194,1,14294,0,241037,0,5538062,0,539932,0,509090,0,243850,0,192993,0,1116200,1,26087,0,2909911,0,497645,0,208154,0,2271683,1,67570,0,11662476,0,11347203,1,19,0,30924,0,284330,0,10973807,0,8685307,0,56070,0,356015,0,75328,1,13178,0,271775,0,93702,0,90456,1,742,0,228774,1,351,0,9133,1,2383,0,11560,0,0,0,1079032,0,688669,0,798456,0,798456,0,0,0,688650,0,99552,0,62399,0,31372,1,5926,1,-157,1,12,0,10254,1,10823,1,569,0,0,0,0,0,0,0,99,0,99,0,0
2013,4,11,7,0,5599,0,11225265,0,1642518,0,435315,1,4,0,1216323,0,0,1,3015,0,593398,0,723109,1,2538,0,869284,0,12503734,0,10129433,0,0,0,0,0,2271803,0,351975,0,82024,0,823714,0,11225265,0,456140,0,1325861,0,588030,0,1099406,0,3055538,0,556540,0,4143749,0,737754,0,970445,0,2819793,0,384243,0,22541899,0,19630278,1,248,0,97353,0,2814019,0,20257305,0,9149713,0,294497,0,3260945,0,469922,1,8262,0,832596,0,460852,0,174257,0,22164,0,577402,0,0,0,81914,0,8370,0,107984,1,167,0,4808260,0,2284594,0,2480524,0,2480524,0,0,0,2284346,0,107334,0,8247,0,23387,1,32767,1,789,0,42143,0,43672,0,43672,0,0,1,45172,1,46653,1,1481,1,5557,1,5557,0,0
2013,4,11,6,0,8166,0,5994876,0,1216065,0,102229,0,0,1,320838,0,0,0,0,0,439205,0,453504,0,0,0,622676,0,8660623,0,7515287,0,0,0,0,0,1254554,1,42362,1,5120,0,403227,0,5994876,0,288819,0,351989,0,180599,0,601593,0,2152824,1,101230,0,2317822,0,676808,0,1258217,0,542945,1,160148,0,9540710,0,8034831,1,163,0,122243,0,1383473,0,8101063,0,2138318,0,270212,0,1024931,0,400420,1,1295,0,554956,0,240743,0,116417,1,61,0,329305,0,0,0,3714,1,9852,0,95092,0,0,0,2915745,0,1439647,0,1476422,0,1476462,1,40,0,1439484,0,19258,1,1093,0,16443,1,134,1,851,1,738,1,9290,1,9798,1,508,1,8391,1,8391,0,0,1,734,1,734,0,0
2013,4,11,5,0,8107,0,2811524,0,708997,1,63550,0,0,1,155323,0,0,0,0,0,37769,1,241013,0,0,1,165645,0,7685451,0,6609011,0,0,0,0,1,275138,1,78345,1,32810,0,42115,0,2811524,1,81266,0,429634,0,64825,0,222325,0,950880,1,69938,0,992657,0,783276,0,703778,0,-494039,1,359,0,7965954,0,6627197,0,0,0,118081,0,1220677,0,6503645,0,1153261,0,210091,0,914205,0,210283,0,0,0,619249,0,185305,0,61599,1,4598,0,351300,0,0,1,7347,1,11906,1,48428,0,0,0,2726073,0,1462310,0,1471469,0,1471469,0,0,0,1462310,0,6636,1,208,0,1509,0,0,0,0,1,4919,1,2523,1,2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
