YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,COMP_DIV_FRN_CORP_IND,COMP_DIV_FRN_CORP,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,DP_PROD_ACTVTY_DED_IND,DP_PROD_ACTVTY_DED,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,(cash_dist + prpty_dist)_IND,(cash_dist + prpty_dist),STCK_DIST_IND,STCK_DIST
2013,2,1,3,0,2408966,0,249169092,0,82515381,0,23453439,0,1104490,0,23913257,0,23101,0,52126,0,12419851,0,20619117,0,921696,0,9289278,0,285830920,0,230844652,0,202560,0,89008,0,5666569,0,26864692,0,15608836,0,5044092,0,249169092,0,20096374,0,15579364,0,30117766,0,43823749,0,49754049,0,6102702,0,83695086,0,23311578,0,40055557,0,905911,0,29270841,0,9848802,0,1446203402,0,1413107257,0,430067,0,7885,0,616748,0,132617,0,55678,0,1168625,0,1724504,0,145080,0,20465,0,28794476,0,1300298393,0,523180895,0,144783057,0,206013288,0,12025483,0,898170,0,60001294,0,41087843,0,5560297,0,165987,0,1473661,0,13468319,0,54168,0,13873211,0,10602469,0,13588917,0,49794,0,201946,0,253268594,0,145905009,0,13694,0,145910818,0,133079588,0,5860859,0,5729740,0,101864,0,6980623,0,1417761,0,1420366,0,6192,0,11105,0,40043,1,2129,0,1364483,0,1633945,1,14200
2013,2,1,2,0,543169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354682158,0,260668707,0,21171060,0,142713,0,2474726,0,1784010,0,1004214,0,15719252,0,3771494,0,202527,0,16387260,0,31356194,0,276501525,0,129666547,0,8013561,0,27790814,0,2431345,0,1285922,0,8502033,0,6972128,0,17917079,0,105806,0,1868948,0,5278587,0,33782,0,2813943,0,1146435,0,3275546,0,226540,0,923558,0,58002438,0,78180633,0,4005862,0,82043782,0,16947884,0,21884132,0,11259007,0,163723,0,43388307,0,15058164,0,14893676,0,75148,0,3940783,0,72278,0,23252,0,11019588,0,30762322,0,39029
2013,2,1,1,0,3580938,0,75876245623,0,4050804263,0,11426210439,0,189023252,0,1504828690,0,2770360821,0,1662117829,0,4125553610,0,262836400,0,7240261962,0,31395348968,0,8425356436,0,4259815716,0,435501272,0,188942362,0,443336320,0,4444078047,0,791390006,0,3118821902,0,75876245623,0,4306525417,0,3002110672,0,14878602138,0,441892946,0,11401700429,0,9576835264,0,32268578756,0,2365058393,0,23742573038,0,370526273,0,8200611716,0,2410190662,0,25128856626,0,22185851084,0,994678565,0,51083316,0,134061812,0,180863002,0,61216790,0,144082868,0,79202946,0,23778323,0,118748425,0,1155289495,0,22895206416,0,14124640488,0,374228650,0,2309355756,0,143419510,0,115938113,0,373179763,0,456903733,0,537614646,0,16567776,0,146591731,0,536668927,0,17501247,0,233927954,0,129224254,0,293819673,0,33896260,0,20972666,0,2964622330,0,2233650210,0,146792460,0,2329359354,0,455520185,0,616051311,0,207028785,0,18873487,0,1257661529,0,441286166,0,437065001,0,3971301,0,118086352,0,27722887,0,1998859,0,293032534,0,1024042520,0,10149785
2013,2,11,13,2,,2,,2,,2,,2,,2,,0,0,0,0,2,,0,0,0,0,2,,2,,2,,0,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,0,0,2,,2,,2,,2,,2,,0,0,2,,0,0,2,,2,,2,,0,0,2,,2,,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,0,0,2,,2,,2,,2,,0,0,2,,2,,2,,2,,0,0,2,,2,,2,,0,0,2,,0,0,2,,0,0,2,,0,0,0,0,0,0,0,0
2013,2,11,12,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,
2013,2,11,11,0,19,0,6777940,0,519768,0,899875,0,9293,0,1425043,0,0,0,0,0,248070,0,0,0,373,0,790056,0,4027146,0,1960224,0,5,0,0,0,659152,0,112248,0,39677,0,105399,0,6777940,0,465189,0,660107,0,444147,0,20708,0,1378059,0,386547,0,3423183,0,8319,0,290971,0,0,0,3165224,0,41331,0,9997420,0,9523183,0,1864,0,58,0,32481,0,31432,0,0,0,250300,0,11062,0,1867,0,8,0,145164,0,9188173,0,6580259,0,52010,0,407309,0,41340,0,4506,0,91880,0,128830,0,63746,0,4635,0,79791,0,262127,0,9146,0,45766,0,16274,0,72157,0,29448,0,1353,0,1297598,0,809247,0,3161,0,812350,0,218595,0,1429,0,0,0,1429,0,592486,0,207170,0,207170,0,0,0,625,0,3170,0,0,0,203376,0,124315,0,0
2013,2,11,10,0,42,0,8022295,0,526740,0,1639194,0,4350,0,1778461,0,0,0,15619,0,326176,0,118821,0,7380,0,711121,0,4358539,0,2395771,0,25,0,25,0,555855,0,289225,0,47811,0,143095,0,8022295,0,741329,0,797981,0,666235,0,134311,0,1206159,0,289221,0,4187059,0,351984,0,976282,0,12687,0,2855942,0,9836,0,11142013,0,10920392,0,14328,0,6207,0,27363,0,37,0,1911,0,3514,0,8901,0,3023,0,1140,0,155198,0,10674743,0,8124580,0,51273,0,523624,0,54372,0,1562,0,113651,0,128809,0,70960,0,5442,0,41306,0,270145,0,22101,0,18576,0,7701,0,116219,0,16860,0,7536,0,1100027,0,467270,0,0,0,461063,0,213600,0,27684,0,25464,0,2220,0,220643,0,76474,0,76038,0,436,0,74,0,3729,0,538,0,72134,0,46493,0,0
2013,2,11,9,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,
2013,2,11,8,0,153,0,5186686,0,502706,0,859754,0,8120,0,676158,0,0,1,103891,0,359260,1,19362,1,119134,0,764582,0,2913155,0,1768944,1,9075,0,0,0,467182,0,12244,0,6225,0,163471,0,5186686,0,544695,0,427608,0,405099,0,131925,0,935510,0,89894,0,2651955,0,136196,0,500947,0,0,0,2062936,0,48124,0,6457132,0,6091614,0,5968,0,7205,0,12518,1,3769,1,324,0,6209,0,14289,1,2807,1,1671,0,310757,0,6034403,0,4080721,0,63632,0,504519,0,72246,0,4398,0,109759,0,89822,0,45147,0,622,0,1012,0,184527,1,704,0,17812,0,13767,0,43517,0,6231,1,1519,0,794448,0,422728,1,5227,0,420751,0,305494,0,22493,1,20996,1,1497,0,92763,0,31863,0,31514,1,343,1,1873,1,1906,1,616,0,27468,0,9636,0,0
2013,2,11,7,0,537,0,8173803,0,792998,0,992096,0,9795,0,1173207,0,0,0,0,0,603654,0,149766,1,30732,0,989575,0,5278412,0,3465232,1,124321,1,38133,0,1332271,0,50811,0,15352,0,184470,0,8173803,0,572260,0,1129935,0,551281,0,320257,0,1932599,0,160862,0,3506609,0,193040,0,869408,1,11728,0,2690847,0,258413,0,12313640,0,10997504,0,8062,0,711,0,32999,1,4164,1,478,0,140156,0,41103,0,10177,1,252,0,1078037,0,11536025,0,7041114,0,158550,0,788662,0,176084,0,12634,0,319616,0,182448,0,109009,0,3128,0,3634,0,357689,1,1286,0,20992,0,14916,0,83765,0,16684,1,1447,0,2244367,0,777616,1,31,0,776936,0,502612,0,94777,0,87705,0,7071,0,179547,0,61460,0,60610,0,850,1,31,1,907,1,401,0,60121,0,54884,0,0
