Table 3.7ESI. Investment in Private Fixed Assets by Industry
Table 3.7ESI. Investment in Private Fixed Assets by Industry
"Last Revised on: September 26, 2025"
Line,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
34,"        Apparel and leather and allied products",1.1,1.0,0.9,1.1,1.0,1.0,0.8,0.9,0.8,1.0,1.1,1.3,1.1,1.1,1.1,1.1,1.3,1.4,1.2
35,"        Paper products",8.1,7.9,6.9,7.4,9.9,8.7,8.1,6.2,8.0,9.0,11.0,10.1,12.7,12.3,12.0,11.7,9.7,13.9,14.2
36,"        Printing and related support activities",4.6,4.3,5.0,5.5,5.4,6.1,5.7,3.8,3.3,4.5,4.3,3.9,4.3,3.9,4.4,4.5,4.8,4.1,3.7
37,"        Petroleum and coal products",12.6,12.9,12.7,17.6,18.6,25.0,24.9,24.7,20.1,18.6,25.5,35.8,27.1,27.5,28.1,27.5,31.6,30.0,24.0
38,"        Chemical products",61.6,60.4,65.5,68.1,73.1,94.1,94.9,87.9,89.2,91.4,96.2,101.9,115.9,130.3,132.2,133.8,138.7,161.6,166.2
39,"        Plastics and rubber products",9.8,8.6,8.9,9.3,9.9,10.2,10.2,7.7,8.7,9.9,10.3,12.0,13.9,13.4,16.0,15.2,15.7,16.0,16.2
40,Wholesale trade,45.6,52.1,57.7,74.6,70.4,58.4,62.5,49.1,55.5,66.8,70.7,65.1,82.2,83.2,89.7,90.8,95.1,95.8,87.6
41,"    Durable goods",31.3,35.1,36.9,50.4,48.4,38.3,44.9,32.2,37.0,44.9,45.1,43.7,52.7,52.0,55.6,55.8,61.1,58.1,51.9
42,"    Nondurable goods",14.3,17.0,20.8,24.2,22.0,20.1,17.6,17.0,18.5,21.9,25.6,21.4,29.5,31.2,34.1,35.0,34.0,37.7,35.7
43,Retail trade,70.2,79.1,86.8,87.8,96.7,95.3,86.8,64.5,69.2,79.8,85.5,86.8,100.0,106.7,114.6,124.4,125.0,133.8,146.9
44,"    Motor vehicle and parts dealers",6.2,7.4,7.8,8.5,8.7,7.8,6.4,4.3,6.2,7.4,9.5,9.0,9.3,9.7,11.4,12.6,12.8,12.5,11.5
45,"    Food and beverage stores",13.3,13.3,13.3,12.1,12.6,13.7,13.7,10.2,12.7,11.5,11.1,11.0,13.3,14.5,16.2,16.6,18.1,17.8,19.1
46,"    General merchandise stores",13.0,17.1,17.5,18.4,22.8,21.1,18.6,12.9,12.6,15.6,15.8,17.3,17.2,21.6,20.3,22.5,24.6,24.1,23.5
47,"    Other retail",37.7,41.3,48.1,48.8,52.6,52.6,48.0,37.1,37.7,45.3,49.1,49.5,60.3,60.9,66.8,72.7,69.5,79.4,92.9
48,Transportation and warehousing,52.5,48.0,54.9,64.1,75.4,74.0,81.1,59.9,65.5,72.7,86.9,96.5,125.3,129.9,119.5,127.5,143.0,135.4,112.6
49,"    Air transportation",14.3,10.5,11.2,9.6,8.6,16.3,18.4,11.9,12.5,13.7,13.8,18.1,21.4,22.6,23.0,29.2,28.3,16.3,17.3
50,"    Railroad transportation",6.7,7.3,7.7,8.2,9.9,10.9,12.6,10.7,12.0,13.8,15.0,15.7,20.0,23.4,19.0,15.8,15.3,14.7,13.3
51,"    Water transportation",2.3,2.3,2.8,2.7,3.2,3.1,3.4,4.0,3.7,3.2,4.4,5.1,6.9,8.2,7.6,6.2,7.4,4.9,6.2
52,"    Truck transportation",11.6,11.7,16.2,25.4,27.0,15.0,15.0,10.8,14.2,20.0,22.1,21.2,27.9,28.2,25.8,25.1,33.9,33.8,23.6
53,"    Transit and ground passenger transportation",1.5,2.4,2.3,2.5,2.9,3.5,2.2,2.3,2.9,2.0,2.7,4.8,3.1,5.2,5.8,7.7,9.7,7.4,6.6
54,"    Pipeline transportation",6.2,5.1,5.6,6.7,9.2,13.9,18.2,11.4,11.3,8.7,17.8,22.2,30.0,23.4,22.9,22.3,20.8,26.4,15.4
55,"    Other transportation and support activities 2",7.5,6.5,7.1,7.2,11.3,8.1,7.1,5.8,6.0,9.4,8.9,6.3,10.8,15.1,10.6,15.3,20.8,23.7,21.2
56,"    Warehousing and storage",2.3,2.2,2.0,1.9,3.4,3.2,4.1,3.1,2.8,1.9,2.1,3.1,5.3,4.0,4.8,5.9,6.9,8.1,8.9
57,Information,184.7,185.1,188.6,201.6,225.4,243.4,239.0,220.1,249.1,259.5,259.0,289.3,318.0,334.9,367.8,409.1,437.2,427.9,443.8
58,"    Publishing industries (includes software)",35.0,41.3,39.0,38.9,44.3,49.1,53.7,53.2,55.1,62.1,57.1,65.4,73.3,67.2,67.9,72.6,73.6,72.0,70.5
59,"    Motion picture and sound recording industries",31.4,34.4,35.5,38.7,38.6,37.4,33.0,30.0,34.8,31.3,29.9,33.4,33.1,36.8,37.3,39.4,40.1,42.2,43.4
60,"    Broadcasting and telecommunications",99.6,90.5,95.4,105.4,120.1,132.8,132.3,116.2,123.6,129.2,133.8,136.4,145.3,155.8,167.3,181.2,179.4,173.9,161.2
61,"    Information and data processing services",18.7,19.0,18.7,18.6,22.4,24.1,20.1,20.7,35.7,36.9,38.3,54.1,66.3,75.0,95.3,116.0,144.0,139.8,168.7
