YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_POS_IND,S_NET_INCM_POS,a.net_incm_IND,a.net_incm,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2013,5,61,1,0,26921,0,10320875,0,2667874,0,2039950,0,222083,0,293945,0,0,0,0,0,748838,0,194700,1,22667,0,1195436,0,5957470,0,3347943,1,4183,1,3953,0,146764,0,476446,0,237452,0,384034,0,10320875,0,522058,0,352951,0,2566343,0,520417,0,1288750,0,513386,0,4556970,0,398575,0,870957,0,3414622,1,127184,0,23778162,0,23666162,1,1689,0,6725,0,103586,0,21446992,0,3665276,0,1321558,0,6282108,0,325357,0,135641,0,2066572,0,781639,0,89935,0,31991,0,315750,0,0,0,615206,0,123294,0,310392,1,170,0,5382103,0,2331170,0,2473465,0,2329481,0,2337746,1,8265,0,134377,0,7038,0,61784,0,3327,0,3408,0,58819,0,9758,1,11016,0,1259,0,-151,0,0,0,151,0,0,0,0,0,0
2013,5,62,12,0,26,0,5528223,0,684248,0,1641874,0,204775,0,24944,0,7383,0,1326,0,219065,0,3216,0,0,0,419002,0,3541879,0,1548849,0,0,0,0,0,278410,0,238411,0,44826,0,266915,0,5528223,0,510949,0,270427,0,548252,0,28216,0,2110295,0,1142373,0,917711,0,23512,0,219107,0,908347,0,233255,0,8469548,0,8257097,0,742,0,2154,0,209555,0,7776414,0,1020706,0,71126,0,2666170,0,71731,0,187688,0,233903,0,419831,0,103102,0,24537,0,205129,0,0,0,60318,0,23132,0,320857,0,805,0,2367377,0,693134,0,717608,0,692392,0,693190,0,798,0,12995,0,1427,0,5657,0,1,0,244,0,5666,0,12221,0,12221,0,0,4,,0,0,4,,0,0,0,0,0,0
2013,5,62,11,0,33,0,2286087,0,289970,0,501914,0,33765,0,6032,0,0,0,439,0,172940,0,59503,0,1095,0,289909,0,1372740,0,689378,0,0,0,0,0,77563,0,214078,0,39272,0,62321,0,2286087,0,260470,0,142000,0,255768,0,30582,0,768332,0,128420,0,700516,0,43817,0,192704,0,585939,0,121944,0,4006337,0,3958547,0,78,0,368,0,47345,0,3861768,0,904673,0,49275,0,1273734,0,29811,0,37499,0,162208,0,215522,0,44205,0,15941,0,64666,0,0,0,28742,0,18801,0,119085,0,3023,0,894584,0,144569,0,180274,0,144491,0,149958,0,5467,0,29823,0,8138,0,7554,0,5,0,7,0,14118,0,6267,0,8224,0,1957,0,-307,4,,0,307,0,0,0,0,0,0
2013,5,62,10,0,78,0,2590965,0,353008,0,629067,0,30273,0,14479,0,0,1,26056,0,281714,0,32501,1,888,0,309373,0,1536962,0,790901,0,0,0,0,0,51826,0,128435,0,20229,0,68057,0,2590965,0,256860,0,171028,0,389630,1,49828,0,735168,0,274865,0,713586,0,103972,0,235243,0,418819,1,44448,0,4994173,0,4892818,1,688,1,23167,0,77501,0,4662757,0,709319,0,71947,0,2017434,0,41339,0,32644,0,240244,0,265815,0,38731,0,5665,0,78345,0,0,0,19367,0,29210,0,187274,1,4,0,925420,0,331416,0,346672,0,330728,0,332532,1,1803,0,10204,0,674,0,9483,1,5,1,-873,1,915,1,5740,1,6139,1,398,5,,0,0,5,,0,1,0,1,0,0
2013,5,62,9,0,236,0,3533991,0,552961,0,806330,0,83284,0,43170,0,0,0,0,0,297575,0,51214,1,9303,0,627160,0,2188326,0,1334995,0,0,0,0,0,31143,0,291938,0,76549,0,129698,0,3533991,0,332519,0,279064,0,411015,0,68949,0,999061,0,197775,0,1245609,0,38893,0,172058,0,1098179,0,63520,0,7458648,0,7319336,1,411,1,1528,0,137373,0,6768754,0,1416055,0,258773,0,2130511,0,63708,0,8285,0,289158,0,315698,0,50624,0,17952,0,110838,0,0,0,83090,0,43674,0,247753,1,313,0,1732321,0,689894,0,703627,0,689483,0,689483,0,0,0,8177,1,3866,0,4258,0,0,1,-68,1,122,0,5265,1,7339,1,2074,1,702,1,702,0,0,0,0,0,0,0,0
2013,5,62,8,0,671,0,4920758,0,898134,0,985038,0,39571,1,62571,0,0,0,0,0,644321,0,144720,0,0,0,406744,0,2910111,0,1598531,0,0,0,0,0,107421,0,377287,0,45917,0,68431,0,4920758,0,236239,0,484386,0,891064,1,167226,0,1161814,0,500619,0,1479411,0,76632,0,330464,0,1112033,1,39718,0,11160217,0,10708241,1,5,1,2201,0,449770,0,10298887,0,2120607,0,311227,0,3379751,0,89152,0,186733,0,547337,0,499699,0,60096,0,11524,0,159896,0,0,0,59731,0,137964,0,273780,1,76,0,2461314,0,861331,0,1139481,0,861325,0,887637,0,26312,0,264272,1,168,0,7395,0,0,1,279,1,256430,1,13883,1,14314,1,431,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,62,7,0,6910,0,12333450,0,3079020,0,1233010,1,82080,0,74265,0,0,0,0,0,1130970,0,310865,0,0,0,984142,0,9934704,0,6024569,0,0,0,0,0,488659,0,1168763,0,374930,0,410631,0,12333450,0,535305,0,924447,0,1162771,0,482915,0,3903063,0,543950,0,4781000,0,349445,0,417860,0,4203934,0,190239,0,37486248,0,37031041,1,123,0,28266,0,426817,0,32762507,0,3349030,0,3549789,0,9763727,0,343023,0,44957,0,1591841,0,1246341,0,244098,0,64454,0,301621,0,0,0,280863,0,408271,0,602030,1,834,0,10971626,0,4723741,0,4742030,0,4723618,0,4723618,0,0,0,20219,0,850,0,18056,1,3,1,189,1,1121,1,-4469,1,5104,1,9572,1,2662,1,2662,0,0,0,0,0,0,0,0
2013,5,62,6,0,15620,0,10298521,0,2590914,0,742445,0,0,0,95367,0,0,0,0,0,605150,0,1070993,1,75673,0,348153,0,9569439,0,6508160,0,0,0,0,0,277088,0,2361590,0,1094307,0,164177,0,10298521,0,162121,0,486038,0,807902,0,311669,0,3780312,0,85385,0,4665093,0,176213,0,750563,0,3838869,0,100552,0,35667239,0,34925590,0,0,1,13130,0,728520,0,30677789,0,3734879,0,4327080,0,8761091,0,243465,0,12527,0,2110304,0,1100495,0,259573,0,145208,0,391116,0,0,0,332096,0,623570,0,375256,1,932,0,8260198,0,4989450,0,5082836,0,4989450,0,5014467,1,25018,0,82600,1,27,0,7598,0,0,1,-13,1,74988,1,5105,1,5105,0,0,1,5681,1,5681,0,0,0,0,0,0,0,0
2013,5,62,5,0,30600,0,10724459,0,3434288,0,582971,1,733,0,123533,0,0,0,0,0,554040,0,1250956,1,26901,0,647605,0,11224173,0,8599998,0,0,0,0,1,61754,0,2409736,0,1161134,0,170368,0,10724459,0,288428,0,527838,0,1203008,0,714643,0,3474388,0,165983,0,4350170,0,312604,0,654415,0,3401276,1,18125,0,41994030,0,40739572,1,575,1,7186,0,1246697,0,35269121,0,2150067,0,6151101,0,11139347,0,315317,1,22743,0,2075854,0,1703292,0,256670,0,147113,0,431371,0,0,0,523560,0,1129790,0,605763,1,87,0,8617045,0,6724909,0,6816176,0,6724334,0,6740528,1,16194,0,85273,1,4095,0,11295,0,0,1,705,1,69177,1,3123,1,3123,0,0,1,3445,1,3445,0,0,0,0,0,0,0,0
2013,5,62,4,0,54200,0,8573281,0,3691210,0,233295,1,7775,0,96252,0,0,0,0,0,270522,0,939719,0,0,0,119718,0,12260996,0,9814303,0,0,0,0,1,67808,0,1691259,0,1077454,0,102035,0,8573281,0,150607,0,539109,0,1385174,0,746445,0,2101759,0,139384,0,3510804,0,309257,0,951931,0,2459106,1,209490,0,53681805,0,52005664,0,0,1,28422,0,1647719,0,45270618,0,4422811,0,9763746,0,10654789,0,445338,1,4810,0,3061735,0,1855941,0,241297,0,91869,0,359879,0,0,0,446645,0,1042691,0,657706,1,1089,0,12220272,0,8411187,0,8462916,0,8411187,0,8421321,1,10134,0,52873,1,33011,0,1616,0,0,0,0,1,18247,1,-2379,1,396,1,2775,1,1234,1,1234,0,0,1,1034,1,1034,0,0
