Table 4.1. Current-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization
Table 4.1. Current-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization
"Last Revised on: September 26, 2025"
Line,,2017,2018,2019,2020,2021,2022,2023,2024
62,"        Equipment",506.3,523.1,547.4,562.1,607.8,669.8,708.3,743.2
63,"        Structures",1273.4,1340.9,1415.3,1435.7,1654.7,1910.3,1952.1,2006.2
64,"        Intellectual property products",223.4,234.7,252.0,270.3,289.6,328.7,362.7,395.0
65,"      Nonprofit institutions",2483.1,2652.5,2806.0,2919.6,3251.7,3708.3,3792.8,3920.4
66,"        Equipment",456.1,483.4,512.4,541.2,578.8,619.2,650.5,678.7
67,"        Structures",1845.0,1975.2,2088.5,2156.6,2439.7,2843.8,2884.0,2966.1
68,"        Intellectual property products",182.0,193.9,205.1,221.7,233.2,245.3,258.3,275.6
69,"      Households",79.5,84.9,89.0,92.2,109.0,127.6,130.8,135.5
70,"        Equipment",8.0,8.5,8.6,9.0,10.0,10.8,11.0,11.4
71,"        Structures",70.9,75.8,79.7,82.4,98.2,116.0,118.8,123.0
72,"        Intellectual property products",0.7,0.7,0.7,0.8,0.8,0.9,1.0,1.1
73,"      Tax-exempt cooperatives",148.5,148.1,154.3,155.3,173.9,186.8,187.6,185.4
74,"        Equipment",43.7,43.5,45.2,45.1,50.6,52.9,53.3,53.6
75,"        Structures",96.1,95.7,99.0,99.6,110.1,120.4,120.3,117.1
76,"        Intellectual property products",8.6,8.9,10.1,10.6,13.2,13.4,13.9,14.8
